id,lat,lon,address,city,departament,country
137,4.5781,-74.216581,Cl. 13 #2a-35,Soacha,Cundinamarca,Colombia
138,5.822523,-73.023206,Cl. 23 #2721,Duitama,Boyacá,Colombia
139,4.582737,-74.220099,Cra. 8 #12-29,Soacha,Cundinamarca,Colombia
140,5.524703,-73.369792,Cl. 9a #15-52,Tunja,Boyacá,Colombia
141,5.570557,-73.340762,Cl. 66a #224,Tunja,Boyacá,Colombia
142,5.544261,-73.358735,Cl. 31 #70 # 10,Tunja,Boyacá,Colombia
143,5.834129,-73.031852,Cl. 20a #10-122,Duitama,Boyacá,Colombia
144,5.529877,-73.35201,Cl. 18 #1-33,Tunja,Boyacá,Colombia
145,5.827671,-73.034744,Centro-Sur,Duitama,Boyacá,Colombia
146,5.832791,-73.035114,Cl. 17 #928,Duitama,Boyacá,Colombia
147,5.829052,-73.029127,Cl. 20 #1627,Duitama,Boyacá,Colombia
148,4.791814,-74.047438,Cra. 51 #214-55,Bogotá,Bogotá,Colombia
149,5.543813,-73.351194,Av. Olímpica #1a74,Tunja,Boyacá,Colombia
150,5.52103,-73.360032,Cra. 4a #8-34,Tunja,Boyacá,Colombia
151,5.835929,-73.027861,RXPC+9V Duitama,RXPC+9V Duitama,Boyaca,Colombia
152,5.832852,-73.032389,CC IN NOVA PLAZA LC 141 - CL 18 # 12 - 5 Barrio Solano,Duitama,Boyacá,Colombia
153,4.578346,-74.135729,11001,Bogotá,Bogotá,Colombia
154,5.829312,-73.034481,Centro-Sur,Duitama,Boyacá,Colombia
155,5.820933,-73.023559,Faraon,Duitama,Boyacá,Colombia
156,5.835774,-73.0277,RXPC+8W Duitama,RXPC+8W Duitama,Boyaca,Colombia
157,4.578346,-74.135729,11001,Bogotá,Bogotá,Colombia
158,5.840745,-73.033889,Cra. 3 #18-67,Duitama,Boyacá,Colombia
159,5.82564,-73.046508,Cl. 3 #8-16,Duitama,Boyacá,Colombia
160,5.529907,-73.368944,Dg. 16 #15-17,Tunja,Boyacá,Colombia
161,5.563237,-73.337134,Autopista Norte #209-51,Tunja,Boyacá,Colombia
162,5.525587,-73.369321,Cra. 15 #11-03,Tunja,Boyacá,Colombia
163,5.531153,-73.361771,Cl. 18 #9-44,Tunja,Boyacá,Colombia
164,8.550893,-72.934377,H328+96 El Tarra,H328+96 El Tarra,Norte de Santander,Colombia
165,5.561417,-73.346607,"5°33'42.0""N 73°20'49 Transversal 1",Tunja,Boyacá,Colombia
166,5.524367,-73.364884,Cl. 11 #10-89 a 10-1,Tunja,Boyacá,Colombia
167,5.54455,-73.358936,Cl. 31 #70 # 10,Tunja,Boyacá,Colombia
168,5.57123,-73.340605,Tv. 3 #67-14,Tunja,Boyacá,Colombia
169,5.539499,-73.355246,55,Tunja,Boyacá,Colombia
170,5.832791,-73.035114,Cl. 17 #928,Duitama,Boyacá,Colombia
171,5.826259,-73.046557,Cl. 3a #7-54,Duitama,Boyacá,Colombia
172,5.568753,-73.340464,Tv. 2 #642,Tunja,Boyacá,Colombia
173,5.571529,-73.334673,Cra. 2b #73,Tunja,Boyacá,Colombia
174,5.55022,-73.354183,Cra 7 #37d40,Tunja,Boyacá,Colombia
